ghgrp_facility_id,oris_code
1006471,2857
1006486,7013
1006493,No Match
1006498,54425
1006502,7870
1006506,55263
1006507,7782
1006509,1363
1006510,1364
1006511,1361
1006512,1356
1006516,1358
1006533,54371
1006539,1241
1006542,6071
1006549,6213
1006553,No Match
1006554,55238
1006556,55210
1006560,54627
1006563,56480
1006566,2953
1006574,733
1006577,3485
1006587,207
1006589,6077
1006591,683
1006593,203
1006602,7131
1006627,50216
1006627,50530
1006628,377
1006630,4040
1006631,4042
1006632,6170
1006633,6253
1006637,880039
1006645,50888
1006646,56668
1006649,56616
1006650,3548
1006652,57865
1006654,60
1006657,55212
1006660,2226
1006663,2914
1006670,54646
1006678,55414
1006680,50293
1006695,55088
1006702,641
1006705,55292
1006706,55293
1006707,55242
1006714,50879
1006715,55348
1006721,3459
1006725,3439
1006727,2451
1006728,3122
1006733,No Match
1006735,1240
1006736,1243
1006745,55508
1006751,2835
1006760,10426
1006768,7760
1006772,50662
1006774,1926
1006775,54805
1006788,54096
1006791,50558
1006794,2866
1006802,620
1006803,50398
1006804,7082
1006808,55286
1006811,3648
1006812,56185
1006832,54755
1006845,50752
1006846,55184
1006852,2098
1006857,50127
1006860,54768
1006862,6558
1006864,55211
1006868,3470
1006868,58378
1006869,54349
1006870,50736
1006873,57122
1006877,54211
1006882,2324
1006885,54099
1006889,861
1006892,52140
1006897,2080
1006902,50087
1006909,6094
1006913,2864
1006915,2594
1006920,3788
1006927,55086
1006933,55349
1006935,55076
1006938,58207
1006939,5083
1006941,54236
1006949,568
1006950,2535
1006952,2837
1006958,50807
1006962,10699
1006966,3456
1006975,10612
1006981,55146
1006983,55327
1006999,55386
1007017,2494
1007019,6064
1007025,55075
1007031,50152
1007053,8906
1007058,55337
1007068,6288
1007100,7946
1007103,6177
1007105,981
1007110,55245
1007111,10774
1007126,58595
1007135,10611
1007144,7887
1007147,No Match
1007152,1404
1007153,6179
1007155,3494
1007156,2632
1007157,2628
1007159,621
1007161,2448
1007161,55039
1007171,56407
1007173,56532
1007177,10398
1007178,56018
1007179,2277
1007180,2706
1007183,7837
1007184,55043
1007185,7253
1007185,7286
1007187,124
1007188,792
1007189,688
1007190,1357
1007196,880065
1007201,886
1007202,2107
1007203,6138
1007204,50131
1007205,50607
1007206,141
1007207,469
1007209,55204
1007214,10606
1007221,No Match
1007224,50936
1007226,54656
1007227,6002
1007232,50368
1007233,7762
1007236,563
1007239,1619
1007242,2878
1007243,3469
1007245,2442
1007246,8048
1007247,55220
1007248,54658
1007255,6042
1007287,55066
1007293,7768
1007294,1394
1007295,55102
1007297,50852
1007299,116
1007300,55168
1007301,1048
1007302,889
1007303,55358
1007305,55620
1007306,3344
1007307,55126
1007308,55391
1007309,6639
1007310,3845
1007311,2076
1007312,55933
1007313,228
1007314,56164
1007315,7315
1007316,55513
1007317,55821
1007318,56041
1007322,52193
1007323,55187
1007324,56611
1007325,880033
1007327,56283
1007328,56458
1007330,2406
1007331,6238
1007339,52130
1007339,55259
1007353,173
1007355,No Match
1007358,55284
1007359,3775
1007360,55710
1007365,55104
1007369,880006
1007370,6073
1007373,629
1007374,1702
1007376,7097
1007378,1010
1007379,57028
1007383,55453
1007388,56259
1007411,246
1007418,3178
1007419,1047
1007420,8222
1007421,2132
1007422,55068
1007423,7
1007426,58116
1007427,3096
1007428,1731
1007429,6030
1007432,642
1007434,3576
1007435,10726
